Area,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
Ellada,1049839,1072705,1350868,1635304,1581095,1391854,1134045,1017242,583334
kastora,149839,1072705,1350868,1635304,1581095,1391854,1134045,1017242,583334
kastoia,149839,1072705,1350868,1635304,1581095,1391854,1134045,1017242,583334
kastria,149839,1072705,1350868,1635304,1581095,1391854,1134045,1017242,583334
kasoria,149839,1072705,1350868,1635304,1581095,1391854,1134045,1017242,583334
katoria,149839,1072705,1350868,1635304,1581095,1391854,1134045,1017242,583334
kstoria,149839,1072705,1350868,1635304,1581095,1391854,1134045,1017242,583334
kassstria,149839,1072705,1350868,1635304,1581095,1391854,1134045,1017242,583334
kastoi,149839,1072705,1350868,1635304,1581095,1391854,1134045,1017242,583334
ktoria,149839,1072705,1350868,1635304,1581095,1391854,1134045,1017242,583334
ktoria,149839,1072705,1350868,1635304,1581095,1391854,1134045,1017242,583334
kssstria,149839,1072705,1350868,1635304,1581095,1391854,1134045,1017242,583334
katoi,149839,1072705,1350868,1635304,1581095,1391854,1134045,1017242,583334
katoib,149839,1072705,1350868,1635304,1581095,1391854,1134045,1017242,583334
