Area,0-9,19-Oct,20-29,30-39,40-49,50-59,60-69,70-79,80+
An. Mak Thraki,28036,27023,30071,34167,41031,45477,40596,46367,23412
Kentr Mak,89706,84958,88184,104463,108808,99509,88626,88920,44828
Dyt Mak,12522,13850,16737,19001,22512,24254,20138,24816,14405
Hpeiros,13467,13530,17073,21159,25575,32584,29984,28047,18528
Thesalia,33607,33290,39939,48437,54495,57190,52843,50409,28794
Sterea El,22182,22061,26530,34004,39800,41975,39387,42704,27853
Ionia,8752,8526,9344,10931,13492,16239,14676,16003,11853
Dyt Ell,30994,32933,40406,47621,55878,59453,50044,47118,30885
Pelop,23805,23449,27115,33812,42470,49732,44965,50819,37075
Attiki,177525,161174,186350,225334,184601,125029,92596,74364,44585
Borio Aigaio,8576,8310,9440,11486,13965,16024,18031,17593,14156
Notio Aigaio,15331,14188,14399,16417,16935,18217,19876,16815,12417
Krhth,32800,29182,31446,36090,38080,39042,36801,34099,22938
Eksoteriko,15316,48058,117090,164840,142341,90111,42061,22921,19859
