Area,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
An. Mak Thraki,29543,28719,31148,35558,40576,44097,36514,36698,15319
Kentr Mak,93666,89014,92541,106818,108233,95608,80748,70835,29271
Dyt Mak,13225,14481,17391,19602,23199,24110,19156,20253,9990
Hpeiros,14401,14411,18080,22160,25720,32845,28798,23145,12548
Thesalia,35093,34785,41862,49731,54228,56010,49227,41644,19383
Sterea El,23355,23432,29022,35106,39955,40942,36564,35120,18963
Ionia,9304,8853,9465,11118,13508,15907,14432,13801,8569
Dyt Ell,32616,35142,42787,49355,55483,58807,48595,39321,20651
Pelop,24986,24711,29776,34926,42946,50043,45041,44338,26557
Attiki,185854,170258,197920,230299,179416,117472,82567,57182,26656
Borio Aigaio,8695,8834,10316,11534,13889,15550,16273,14476,8760
Notio Aigaio,15951,15066,15369,16553,16560,17584,18654,14306,8584
Krhth,34200,31485,33174,37128,37874,37935,35072,28473,15953
Eksoteriko,16331,52982,127893,167654,129525,70108,31780,16655,10542
